target_speaker	file_basename	beginning_time	end_time	duration_total_speech	duration_overlapping_speech
!FAT_TWX	tsay_LWJ_020520	60	120	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	60	120	0.0	0.0
OTH	tsay_LWJ_020520	60	120	0.0	0.0
GRF	tsay_LWJ_020520	60	120	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	60	120	0.0	0.0
!MOT_LWJ	tsay_LWJ_020520	60	120	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	120	180	20.425	1.880
!INV_Joyce	tsay_LWJ_020520	120	180	24.879	1.946
SIS	tsay_LWJ_020520	120	180	0.0	0.0
GRM	tsay_LWJ_020520	120	180	0.0	0.0
!FAT_TWX	tsay_LWJ_020520	120	180	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	120	180	0.0	0.0
OTH	tsay_LWJ_020520	120	180	0.0	0.0
GRF	tsay_LWJ_020520	120	180	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	120	180	0.0	0.0
!MOT_LWJ	tsay_LWJ_020520	120	180	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	180	240	27.630	0.630
!INV_Joyce	tsay_LWJ_020520	180	240	20.939	0.701
SIS	tsay_LWJ_020520	180	240	0.0	0.0
GRM	tsay_LWJ_020520	180	240	0.0	0.0
!FAT_TWX	tsay_LWJ_020520	180	240	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	180	240	0.0	0.0
OTH	tsay_LWJ_020520	180	240	0.0	0.0
GRF	tsay_LWJ_020520	180	240	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	180	240	0.0	0.0
!MOT_LWJ	tsay_LWJ_020520	180	240	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	240	300	27.965	0.121
!INV_Joyce	tsay_LWJ_020520	240	300	21.098	0.295
SIS	tsay_LWJ_020520	240	300	0.0	0.0
GRM	tsay_LWJ_020520	240	300	0.0	0.0
!FAT_TWX	tsay_LWJ_020520	240	300	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	240	300	0.0	0.0
OTH	tsay_LWJ_020520	240	300	0.0	0.0
GRF	tsay_LWJ_020520	240	300	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	240	300	0.0	0.0
!MOT_LWJ	tsay_LWJ_020520	240	300	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	300	360	19.018	0.041
!INV_Joyce	tsay_LWJ_020520	300	360	19.719	1.617
!MOT_LWJ	tsay_LWJ_020520	300	360	3.460	1.562
SIS	tsay_LWJ_020520	300	360	0.0	0.0
GRM	tsay_LWJ_020520	300	360	0.0	0.0
!FAT_TWX	tsay_LWJ_020520	300	360	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	300	360	0.0	0.0
OTH	tsay_LWJ_020520	300	360	0.0	0.0
GRF	tsay_LWJ_020520	300	360	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	300	360	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	360	420	24.870	0.189
!INV_Joyce	tsay_LWJ_020520	360	420	23.930	0.251
SIS	tsay_LWJ_020520	360	420	0.0	0.0
GRM	tsay_LWJ_020520	360	420	0.0	0.0
!FAT_TWX	tsay_LWJ_020520	360	420	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	360	420	0.0	0.0
OTH	tsay_LWJ_020520	360	420	0.0	0.0
GRF	tsay_LWJ_020520	360	420	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	360	420	0.0	0.0
!MOT_LWJ	tsay_LWJ_020520	360	420	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	420	480	18.071	1.592
!INV_Joyce	tsay_LWJ_020520	420	480	24.876	1.060
!MOT_LWJ	tsay_LWJ_020520	420	480	1.589	0.556
SIS	tsay_LWJ_020520	420	480	0.0	0.0
GRM	tsay_LWJ_020520	420	480	0.0	0.0
!FAT_TWX	tsay_LWJ_020520	420	480	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	420	480	0.0	0.0
OTH	tsay_LWJ_020520	420	480	0.0	0.0
GRF	tsay_LWJ_020520	420	480	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	420	480	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	480	540	14.295	1.048
!INV_Joyce	tsay_LWJ_020520	480	540	24.800	2.515
!MOT_LWJ	tsay_LWJ_020520	480	540	8.137	1.710
SIS	tsay_LWJ_020520	480	540	0.0	0.0
GRM	tsay_LWJ_020520	480	540	0.0	0.0
!FAT_TWX	tsay_LWJ_020520	480	540	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	480	540	0.0	0.0
OTH	tsay_LWJ_020520	480	540	0.0	0.0
GRF	tsay_LWJ_020520	480	540	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	480	540	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	540	600	15.667	0.795
!INV_Joyce	tsay_LWJ_020520	540	600	20.735	0.925
!MOT_LWJ	tsay_LWJ_020520	540	600	3.595	0.702
SIS	tsay_LWJ_020520	540	600	0.0	0.0
GRM	tsay_LWJ_020520	540	600	0.0	0.0
!FAT_TWX	tsay_LWJ_020520	540	600	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	540	600	0.0	0.0
OTH	tsay_LWJ_020520	540	600	0.0	0.0
GRF	tsay_LWJ_020520	540	600	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	540	600	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	600	660	21.635	0.955
!INV_Joyce	tsay_LWJ_020520	600	660	14.756	1.787
!MOT_LWJ	tsay_LWJ_020520	600	660	8.566	0.832
SIS	tsay_LWJ_020520	600	660	0.0	0.0
GRM	tsay_LWJ_020520	600	660	0.0	0.0
!FAT_TWX	tsay_LWJ_020520	600	660	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	600	660	0.0	0.0
OTH	tsay_LWJ_020520	600	660	0.0	0.0
GRF	tsay_LWJ_020520	600	660	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	600	660	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	660	720	18.189	0.608
!INV_Joyce	tsay_LWJ_020520	660	720	20.134	0.918
!MOT_LWJ	tsay_LWJ_020520	660	720	8.068	0.297
SIS	tsay_LWJ_020520	660	720	0.0	0.0
GRM	tsay_LWJ_020520	660	720	0.0	0.0
!FAT_TWX	tsay_LWJ_020520	660	720	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	660	720	0.0	0.0
OTH	tsay_LWJ_020520	660	720	0.0	0.0
GRF	tsay_LWJ_020520	660	720	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	660	720	0.0	0.0
!CHI_LWJ	tsay_LWJ_020520	720	780	20.300	1.504
!INV_Joyce	tsay_LWJ_020520	720	780	24.288	1.586
!MOT_LWJ	tsay_LWJ_020520	720	780	1.567	0.035
SIS	tsay_LWJ_020520	720	780	0.0	0.0
GRM	tsay_LWJ_020520	720	780	0.0	0.0
!FAT_TWX	tsay_LWJ_020520	720	780	0.0	0.0
!MOT_TWX	tsay_LWJ_020520	720	780	0.0	0.0
OTH	tsay_LWJ_020520	720	780	0.0	0.0
GRF	tsay_LWJ_020520	720	780	0.0	0.0
!CHI_TWX	tsay_LWJ_020520	720	780	0.0	0.0
!CHI_9427	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.600	0.600
EE1	databrary_ACLEW_WAR_9427_021000_021120	0	60	37.345	0.600
!CHI_8924	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
MC1	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
MC2	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!CHI_8357	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!CHI_9398	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
MA2	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
UC2	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!CHI_9858	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_7903	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_8445	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_9051	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!CHI_9051	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_9858	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
MI1	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_7798	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
MA3	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_9755	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_9492	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!CHI_9755	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
FA5	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_9801	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!CHI_9909	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_9909	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_9408	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!CHI_8445	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
FA6	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!CHI_7903	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
UC1	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!CHI_7798	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!CHI_9801	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!CHI_9492	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
FA2	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
MA4	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
FA4	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_8924	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
FA3	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_8357	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_9398	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!CHI_9408	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
MA5	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
MA1	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
FC1	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_9427	databrary_ACLEW_WAR_9427_021000_021120	0	60	0.0	0.0
!MOT_8924	databrary_ACLEW_SOD_8924_012780_012900	0	60	5.200	0.660
FA2	databrary_ACLEW_SOD_8924_012780_012900	0	60	1.010	0.000
FA3	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.670	0.000
MA1	databrary_ACLEW_SOD_8924_012780_012900	0	60	1.880	0.000
MA2	databrary_ACLEW_SOD_8924_012780_012900	0	60	1.540	0.660
!CHI_oekd	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_7758	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
MC1	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
EE1	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_oegd	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9854	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9858	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_C20	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9527	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_uebn	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
MA3	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_5959	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9755	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
FA5	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_C22	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
C1	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_van5	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_C18	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_8340	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9733	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_5271	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9408	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_outg	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9559	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_C16	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_7798	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9801	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9527	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_van8	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9426	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_van7	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9408	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_7758	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_8560	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
FC1	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9427	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_8924	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_8788	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
FA1	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
MC2	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_8357	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
UC3	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
UU	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9398	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9427	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_5959	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9559	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
UC2	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_8340	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_C25	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_5271	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
C2	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_7903	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_8445	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_8788	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_uoga	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9858	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_8560	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
MI1	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_7798	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9492	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9755	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_C24	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9801	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9909	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9733	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9909	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_8445	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9854	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_7903	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
UC1	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
MOT*	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_9492	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
MA4	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
FA4	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_van6	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_8357	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9398	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!MOT_9426	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
MA5	databrary_ACLEW_SOD_8924_012780_012900	0	60	0.0	0.0
!CHI_nath	lena_lyon_day1_nath_10h15	0	60	46.351	1.559
!FAT_nath	lena_lyon_day1_nath_10h15	0	60	10.567	1.167
!MOT_nath	lena_lyon_day1_nath_10h15	0	60	4.320	0.135
OCH	lena_lyon_day1_nath_10h15	0	60	0.0	0.0
FEM	lena_lyon_day1_nath_10h15	0	60	0.0	0.0
!CHI_nath	lena_lyon_day1_nath_10h15	60	120	57.398	1.290
!FAT_nath	lena_lyon_day1_nath_10h15	60	120	2.652	0.144
!MOT_nath	lena_lyon_day1_nath_10h15	60	120	0.0	0.0
OCH	lena_lyon_day1_nath_10h15	60	120	0.0	0.0
FEM	lena_lyon_day1_nath_10h15	60	120	0.0	0.0
!CHI_nath	lena_lyon_day1_nath_10h15	120	180	50.783	1.042
!FAT_nath	lena_lyon_day1_nath_10h15	120	180	9.521	0.476
!MOT_nath	lena_lyon_day1_nath_10h15	120	180	0.0	0.0
OCH	lena_lyon_day1_nath_10h15	120	180	0.0	0.0
FEM	lena_lyon_day1_nath_10h15	120	180	0.0	0.0
!CHI_nath	lena_lyon_day1_nath_10h15	180	240	49.734	1.979
!FAT_nath	lena_lyon_day1_nath_10h15	180	240	10.860	0.946
!MOT_nath	lena_lyon_day1_nath_10h15	180	240	0.0	0.0
OCH	lena_lyon_day1_nath_10h15	180	240	0.0	0.0
FEM	lena_lyon_day1_nath_10h15	180	240	0.0	0.0
!CHI_j09m5a	paido_j5at09m112	0	60	17.585	0.000
!CHI_j09m5a	paido_j5at09m112	60	120	18.358	0.000
!CHI_nath	lena_lyon_day1_nath_14h00	0	60	11.344	1.523
!MOT_nath	lena_lyon_day1_nath_14h00	0	60	49.841	1.875
OCH	lena_lyon_day1_nath_14h00	0	60	0.0	0.0
!FAT_nath	lena_lyon_day1_nath_14h00	0	60	0.0	0.0
FEM	lena_lyon_day1_nath_14h00	0	60	0.0	0.0
!CHI_nath	lena_lyon_day1_nath_14h00	60	120	3.024	0.414
!MOT_nath	lena_lyon_day1_nath_14h00	60	120	56.618	1.814
OCH	lena_lyon_day1_nath_14h00	60	120	0.0	0.0
!FAT_nath	lena_lyon_day1_nath_14h00	60	120	0.0	0.0
FEM	lena_lyon_day1_nath_14h00	60	120	0.0	0.0
!MOT_nath	lena_lyon_day1_nath_14h00	120	180	59.938	1.337
OCH	lena_lyon_day1_nath_14h00	120	180	0.0	0.0
!FAT_nath	lena_lyon_day1_nath_14h00	120	180	0.0	0.0
!CHI_nath	lena_lyon_day1_nath_14h00	120	180	0.0	0.0
FEM	lena_lyon_day1_nath_14h00	120	180	0.0	0.0
!CHI_nath	lena_lyon_day1_nath_14h00	180	240	3.843	0.214
!FAT_nath	lena_lyon_day1_nath_14h00	180	240	5.296	1.052
!MOT_nath	lena_lyon_day1_nath_14h00	180	240	51.935	2.042
OCH	lena_lyon_day1_nath_14h00	180	240	0.0	0.0
FEM	lena_lyon_day1_nath_14h00	180	240	0.0	0.0
!CHI_j03f3a	paido_j3at03f121	0	60	24.264	0.000
!CHI_j03f3a	paido_j3at03f121	60	120	28.276	0.000
!CHI_nath	lena_lyon_day1_nath_14h05	0	60	24.129	1.802
!MOT_nath	lena_lyon_day1_nath_14h05	0	60	35.837	2.955
OCH	lena_lyon_day1_nath_14h05	0	60	0.0	0.0
!FAT_nath	lena_lyon_day1_nath_14h05	0	60	0.0	0.0
FEM	lena_lyon_day1_nath_14h05	0	60	0.0	0.0
!CHI_LYC	tsay_LYC_020712	0	60	16.482	1.964
!INV_Kay	tsay_LYC_020712	0	60	32.989	2.140
!INV_Joyce	tsay_LYC_020712	0	60	0.0	0.0
SIS	tsay_LYC_020712	0	60	0.0	0.0
GRM	tsay_LYC_020712	0	60	0.0	0.0
!INV_Rose	tsay_LYC_020712	0	60	0.0	0.0
OTH	tsay_LYC_020712	0	60	0.0	0.0
!CHI_LWJ	tsay_LYC_020712	0	60	0.0	0.0
GRF	tsay_LYC_020712	0	60	0.0	0.0
!MOT_LWJ	tsay_LYC_020712	0	60	0.0	0.0
!MOT_LYC	tsay_LYC_020712	0	60	0.0	0.0
!CHI_LYC	tsay_LYC_020712	60	120	9.019	0.576
!INV_Kay	tsay_LYC_020712	60	120	30.411	0.671
!INV_Joyce	tsay_LYC_020712	60	120	0.0	0.0
SIS	tsay_LYC_020712	60	120	0.0	0.0
GRM	tsay_LYC_020712	60	120	0.0	0.0
!INV_Rose	tsay_LYC_020712	60	120	0.0	0.0
OTH	tsay_LYC_020712	60	120	0.0	0.0
!CHI_LWJ	tsay_LYC_020712	60	120	0.0	0.0
GRF	tsay_LYC_020712	60	120	0.0	0.0
!MOT_LWJ	tsay_LYC_020712	60	120	0.0	0.0
!MOT_LYC	tsay_LYC_020712	60	120	0.0	0.0
!CHI_LYC	tsay_LYC_020712	120	180	3.483	0.827
!INV_Kay	tsay_LYC_020712	120	180	35.212	0.943
!INV_Joyce	tsay_LYC_020712	120	180	0.0	0.0
SIS	tsay_LYC_020712	120	180	0.0	0.0
GRM	tsay_LYC_020712	120	180	0.0	0.0
!INV_Rose	tsay_LYC_020712	120	180	0.0	0.0
OTH	tsay_LYC_020712	120	180	0.0	0.0
!CHI_LWJ	tsay_LYC_020712	120	180	0.0	0.0
GRF	tsay_LYC_020712	120	180	0.0	0.0
!MOT_LWJ	tsay_LYC_020712	120	180	0.0	0.0
!MOT_LYC	tsay_LYC_020712	120	180	0.0	0.0
!CHI_LYC	tsay_LYC_020712	180	240	5.620	0.400
!INV_Kay	tsay_LYC_020712	180	240	33.760	0.470
!INV_Joyce	tsay_LYC_020712	180	240	0.0	0.0
SIS	tsay_LYC_020712	180	240	0.0	0.0
GRM	tsay_LYC_020712	180	240	0.0	0.0
!INV_Rose	tsay_LYC_020712	180	240	0.0	0.0
OTH	tsay_LYC_020712	180	240	0.0	0.0
!CHI_LWJ	tsay_LYC_020712	180	240	0.0	0.0
GRF	tsay_LYC_020712	180	240	0.0	0.0
!MOT_LWJ	tsay_LYC_020712	180	240	0.0	0.0
!MOT_LYC	tsay_LYC_020712	180	240	0.0	0.0
!CHI_LYC	tsay_LYC_020712	240	300	10.808	0.151
!INV_Kay	tsay_LYC_020712	240	300	27.246	0.163
!INV_Joyce	tsay_LYC_020712	240	300	0.0	0.0
SIS	tsay_LYC_020712	240	300	0.0	0.0
GRM	tsay_LYC_020712	240	300	0.0	0.0
!INV_Rose	tsay_LYC_020712	240	300	0.0	0.0
OTH	tsay_LYC_020712	240	300	0.0	0.0
!CHI_LWJ	tsay_LYC_020712	240	300	0.0	0.0
GRF	tsay_LYC_020712	240	300	0.0	0.0
!MOT_LWJ	tsay_LYC_020712	240	300	0.0	0.0
!MOT_LYC	tsay_LYC_020712	240	300	0.0	0.0
!CHI_LYC	tsay_LYC_020712	300	360	9.530	1.229
!INV_Kay	tsay_LYC_020712	300	360	33.333	1.416
!INV_Joyce	tsay_LYC_020712	300	360	0.0	0.0
SIS	tsay_LYC_020712	300	360	0.0	0.0
GRM	tsay_LYC_020712	300	360	0.0	0.0
!INV_Rose	tsay_LYC_020712	300	360	0.0	0.0
OTH	tsay_LYC_020712	300	360	0.0	0.0
!CHI_LWJ	tsay_LYC_020712	300	360	0.0	0.0
GRF	tsay_LYC_020712	300	360	0.0	0.0
!MOT_LWJ	tsay_LYC_020712	300	360	0.0	0.0
!MOT_LYC	tsay_LYC_020712	300	360	0.0	0.0
