target_speaker	file_basename	beginning_time	end_time	duration_total_speech	duration_overlapping_speech
FEE041	ES2011c.Mix-Headset	1380	1440	21.247	10.100
FEE042	ES2011c.Mix-Headset	1380	1440	20.443	9.027
FEE043	ES2011c.Mix-Headset	1380	1440	17.617	4.437
FEE044	ES2011c.Mix-Headset	1380	1440	9.090	4.298
FEE041	ES2011c.Mix-Headset	1440	1500	13.644	9.595
FEE042	ES2011c.Mix-Headset	1440	1500	30.628	13.472
FEE043	ES2011c.Mix-Headset	1440	1500	4.738	4.548
FEE044	ES2011c.Mix-Headset	1440	1500	32.855	12.293
FEE041	ES2011c.Mix-Headset	1500	1560	16.726	6.919
FEE042	ES2011c.Mix-Headset	1500	1560	37.720	11.931
FEE043	ES2011c.Mix-Headset	1500	1560	0.352	0.237
FEE044	ES2011c.Mix-Headset	1500	1560	8.367	5.249
FEE044	ES2011d.Mix-Headset	0	60	0.0	0.0
FEE043	ES2011d.Mix-Headset	0	60	0.0	0.0
FEE042	ES2011d.Mix-Headset	0	60	0.0	0.0
FEE041	ES2011d.Mix-Headset	0	60	0.0	0.0
FEE041	ES2011d.Mix-Headset	60	120	50.249	0.000
FEE044	ES2011d.Mix-Headset	60	120	0.0	0.0
FEE043	ES2011d.Mix-Headset	60	120	0.0	0.0
FEE042	ES2011d.Mix-Headset	60	120	0.0	0.0
FEE041	ES2011d.Mix-Headset	120	180	15.949	9.190
FEE042	ES2011d.Mix-Headset	120	180	47.518	11.825
FEE043	ES2011d.Mix-Headset	120	180	4.040	4.040
FEE044	ES2011d.Mix-Headset	120	180	3.106	3.106
FEE041	ES2011d.Mix-Headset	180	240	3.084	2.834
FEE042	ES2011d.Mix-Headset	180	240	21.957	7.442
FEE043	ES2011d.Mix-Headset	180	240	41.517	6.904
FEE044	ES2011d.Mix-Headset	180	240	0.0	0.0
FEE041	ES2011d.Mix-Headset	240	300	49.264	3.431
FEE042	ES2011d.Mix-Headset	240	300	4.004	2.692
FEE043	ES2011d.Mix-Headset	240	300	6.256	2.011
FEE044	ES2011d.Mix-Headset	240	300	0.0	0.0
FEE041	ES2011d.Mix-Headset	300	360	45.519	7.109
FEE042	ES2011d.Mix-Headset	300	360	17.800	6.973
FEE044	ES2011d.Mix-Headset	300	360	1.717	1.717
FEE043	ES2011d.Mix-Headset	300	360	0.0	0.0
FEE041	ES2011d.Mix-Headset	360	420	17.809	4.486
FEE043	ES2011d.Mix-Headset	360	420	0.842	0.842
FEE044	ES2011d.Mix-Headset	360	420	17.442	3.644
FEE042	ES2011d.Mix-Headset	360	420	0.0	0.0
FEE044	ES2011d.Mix-Headset	420	480	56.023	0.000
FEE041	ES2011d.Mix-Headset	420	480	0.0	0.0
FEE043	ES2011d.Mix-Headset	420	480	0.0	0.0
FEE042	ES2011d.Mix-Headset	420	480	0.0	0.0
FEE042	ES2011d.Mix-Headset	480	540	1.585	0.820
FEE043	ES2011d.Mix-Headset	480	540	4.612	1.911
FEE044	ES2011d.Mix-Headset	480	540	49.257	2.731
FEE041	ES2011d.Mix-Headset	480	540	0.0	0.0
FEE041	ES2011d.Mix-Headset	540	600	16.267	7.442
FEE042	ES2011d.Mix-Headset	540	600	0.464	0.464
FEE043	ES2011d.Mix-Headset	540	600	10.200	3.542
FEE044	ES2011d.Mix-Headset	540	600	23.068	9.884
FEE041	ES2011d.Mix-Headset	600	660	5.993	5.048
FEE043	ES2011d.Mix-Headset	600	660	1.448	1.448
FEE044	ES2011d.Mix-Headset	600	660	6.548	4.471
FEE042	ES2011d.Mix-Headset	600	660	0.0	0.0
FEE041	ES2011d.Mix-Headset	660	720	2.963	2.963
FEE042	ES2011d.Mix-Headset	660	720	6.059	5.328
FEE043	ES2011d.Mix-Headset	660	720	8.469	4.613
FEE044	ES2011d.Mix-Headset	660	720	14.511	6.945
FEE042	ES2011d.Mix-Headset	720	780	3.857	0.727
FEE044	ES2011d.Mix-Headset	720	780	1.470	0.727
FEE041	ES2011d.Mix-Headset	720	780	0.0	0.0
FEE043	ES2011d.Mix-Headset	720	780	0.0	0.0
FEE041	ES2011d.Mix-Headset	780	840	23.324	12.596
FEE042	ES2011d.Mix-Headset	780	840	10.882	8.457
FEE043	ES2011d.Mix-Headset	780	840	4.524	3.304
FEE044	ES2011d.Mix-Headset	780	840	32.240	12.725
FEE041	ES2011d.Mix-Headset	840	900	24.143	19.094
FEE042	ES2011d.Mix-Headset	840	900	22.382	20.238
FEE043	ES2011d.Mix-Headset	840	900	13.534	7.361
FEE044	ES2011d.Mix-Headset	840	900	33.106	16.633
FEE041	ES2011d.Mix-Headset	900	960	10.663	7.762
FEE042	ES2011d.Mix-Headset	900	960	10.132	6.582
FEE043	ES2011d.Mix-Headset	900	960	9.216	6.100
FEE044	ES2011d.Mix-Headset	900	960	20.670	6.368
FEE041	ES2011d.Mix-Headset	960	1020	16.011	7.130
FEE042	ES2011d.Mix-Headset	960	1020	14.798	6.710
FEE043	ES2011d.Mix-Headset	960	1020	8.919	3.591
FEE044	ES2011d.Mix-Headset	960	1020	22.825	10.763
FEE041	ES2011d.Mix-Headset	1020	1080	22.447	7.225
FEE042	ES2011d.Mix-Headset	1020	1080	3.248	1.350
FEE043	ES2011d.Mix-Headset	1020	1080	1.610	0.282
FEE044	ES2011d.Mix-Headset	1020	1080	35.456	8.277
FEE041	ES2011d.Mix-Headset	1080	1140	36.888	14.546
FEE042	ES2011d.Mix-Headset	1080	1140	11.456	6.289
FEE043	ES2011d.Mix-Headset	1080	1140	16.509	11.787
FEE044	ES2011d.Mix-Headset	1080	1140	12.423	3.866
FEE041	ES2011d.Mix-Headset	1140	1200	27.304	18.871
FEE042	ES2011d.Mix-Headset	1140	1200	15.376	9.567
FEE043	ES2011d.Mix-Headset	1140	1200	28.659	16.258
FEE044	ES2011d.Mix-Headset	1140	1200	13.977	10.419
FEE041	ES2011d.Mix-Headset	1200	1260	38.284	17.415
FEE042	ES2011d.Mix-Headset	1200	1260	5.702	5.670
FEE043	ES2011d.Mix-Headset	1200	1260	28.538	13.499
FEE044	ES2011d.Mix-Headset	1200	1260	9.195	7.989
FEE041	ES2011d.Mix-Headset	1260	1320	40.015	15.862
FEE042	ES2011d.Mix-Headset	1260	1320	10.166	7.810
FEE043	ES2011d.Mix-Headset	1260	1320	17.879	9.739
FEE044	ES2011d.Mix-Headset	1260	1320	3.455	2.735
FEE041	ES2011d.Mix-Headset	1320	1380	15.747	9.273
FEE042	ES2011d.Mix-Headset	1320	1380	16.317	9.468
FEE043	ES2011d.Mix-Headset	1320	1380	4.275	0.000
FEE044	ES2011d.Mix-Headset	1320	1380	21.269	3.421
FEE041	ES2011d.Mix-Headset	1380	1440	16.344	7.536
FEE042	ES2011d.Mix-Headset	1380	1440	17.434	9.529
FEE043	ES2011d.Mix-Headset	1380	1440	29.673	9.484
FEE044	ES2011d.Mix-Headset	1380	1440	3.471	3.471
FEE041	ES2011d.Mix-Headset	1440	1500	40.141	5.116
FEE042	ES2011d.Mix-Headset	1440	1500	2.894	1.949
FEE043	ES2011d.Mix-Headset	1440	1500	0.868	0.000
FEE044	ES2011d.Mix-Headset	1440	1500	6.065	4.031
FEE041	ES2011d.Mix-Headset	1500	1560	32.632	17.498
FEE042	ES2011d.Mix-Headset	1500	1560	16.218	11.102
FEE043	ES2011d.Mix-Headset	1500	1560	26.630	9.812
FEE044	ES2011d.Mix-Headset	1500	1560	10.774	9.030
FEE041	ES2011d.Mix-Headset	1560	1620	12.020	6.579
FEE042	ES2011d.Mix-Headset	1560	1620	27.305	9.114
FEE043	ES2011d.Mix-Headset	1560	1620	23.315	2.202
FEE044	ES2011d.Mix-Headset	1560	1620	5.410	3.556
FEE041	ES2011d.Mix-Headset	1620	1680	32.840	16.774
FEE042	ES2011d.Mix-Headset	1620	1680	24.211	17.887
FEE043	ES2011d.Mix-Headset	1620	1680	16.256	7.951
FEE044	ES2011d.Mix-Headset	1620	1680	18.036	9.566
FEE041	ES2011d.Mix-Headset	1680	1740	22.357	9.909
FEE042	ES2011d.Mix-Headset	1680	1740	14.864	8.243
FEE043	ES2011d.Mix-Headset	1680	1740	18.231	6.277
FEE044	ES2011d.Mix-Headset	1680	1740	20.886	7.253
FEE041	ES2011d.Mix-Headset	1740	1800	17.322	9.169
FEE042	ES2011d.Mix-Headset	1740	1800	17.649	7.737
FEE043	ES2011d.Mix-Headset	1740	1800	18.092	3.320
FEE044	ES2011d.Mix-Headset	1740	1800	8.905	4.756
FEE041	ES2011d.Mix-Headset	1800	1860	9.454	8.376
FEE042	ES2011d.Mix-Headset	1800	1860	45.963	11.818
FEE043	ES2011d.Mix-Headset	1800	1860	17.023	5.771
FEE044	ES2011d.Mix-Headset	1800	1860	0.0	0.0
FEE041	ES2011d.Mix-Headset	1860	1920	28.525	8.833
FEE042	ES2011d.Mix-Headset	1860	1920	4.701	4.701
FEE043	ES2011d.Mix-Headset	1860	1920	17.742	2.308
FEE044	ES2011d.Mix-Headset	1860	1920	10.802	5.307
MTD021PM	TS3006d.Mix-Headset	0	60	39.181	6.222
MTD022ID	TS3006d.Mix-Headset	0	60	3.932	3.135
MTD023UID	TS3006d.Mix-Headset	0	60	7.526	5.323
MTD024ME	TS3006d.Mix-Headset	0	60	4.336	3.484
MTD021PM	TS3006d.Mix-Headset	60	120	37.265	13.930
MTD022ID	TS3006d.Mix-Headset	60	120	5.486	4.393
MTD023UID	TS3006d.Mix-Headset	60	120	10.766	7.290
MTD024ME	TS3006d.Mix-Headset	60	120	14.880	10.617
MTD021PM	TS3006d.Mix-Headset	120	180	31.857	9.517
MTD022ID	TS3006d.Mix-Headset	120	180	15.138	6.370
MTD023UID	TS3006d.Mix-Headset	120	180	4.949	3.772
MTD024ME	TS3006d.Mix-Headset	120	180	22.014	7.192
MTD021PM	TS3006d.Mix-Headset	180	240	20.420	12.440
MTD022ID	TS3006d.Mix-Headset	180	240	40.760	14.760
MTD023UID	TS3006d.Mix-Headset	180	240	10.650	3.776
MTD024ME	TS3006d.Mix-Headset	180	240	4.416	3.026
MTD021PM	TS3006d.Mix-Headset	240	300	7.560	3.047
MTD022ID	TS3006d.Mix-Headset	240	300	20.438	6.121
MTD023UID	TS3006d.Mix-Headset	240	300	16.362	6.674
MTD024ME	TS3006d.Mix-Headset	240	300	26.240	8.753
MTD021PM	TS3006d.Mix-Headset	300	360	20.387	13.952
MTD022ID	TS3006d.Mix-Headset	300	360	15.617	7.848
MTD023UID	TS3006d.Mix-Headset	300	360	8.953	7.330
MTD024ME	TS3006d.Mix-Headset	300	360	30.042	12.579
MTD021PM	TS3006d.Mix-Headset	360	420	34.007	17.458
MTD022ID	TS3006d.Mix-Headset	360	420	10.164	4.960
MTD023UID	TS3006d.Mix-Headset	360	420	6.379	6.175
MTD024ME	TS3006d.Mix-Headset	360	420	33.911	16.718
MTD021PM	TS3006d.Mix-Headset	420	480	19.296	11.552
MTD023UID	TS3006d.Mix-Headset	420	480	21.762	7.612
MTD024ME	TS3006d.Mix-Headset	420	480	28.633	7.535
MTD022ID	TS3006d.Mix-Headset	420	480	0.0	0.0
MTD021PM	TS3006d.Mix-Headset	480	540	9.411	8.104
MTD022ID	TS3006d.Mix-Headset	480	540	3.459	3.459
MTD023UID	TS3006d.Mix-Headset	480	540	1.103	1.103
MTD024ME	TS3006d.Mix-Headset	480	540	55.853	9.850
MTD021PM	TS3006d.Mix-Headset	540	600	36.581	12.660
MTD022ID	TS3006d.Mix-Headset	540	600	8.111	5.390
MTD023UID	TS3006d.Mix-Headset	540	600	3.856	2.895
MTD024ME	TS3006d.Mix-Headset	540	600	22.216	13.466
MTD021PM	TS3006d.Mix-Headset	600	660	19.844	10.325
MTD022ID	TS3006d.Mix-Headset	600	660	12.607	3.291
MTD023UID	TS3006d.Mix-Headset	600	660	19.024	12.587
MTD024ME	TS3006d.Mix-Headset	600	660	27.358	15.771
MTD021PM	TS3006d.Mix-Headset	660	720	27.401	20.118
MTD022ID	TS3006d.Mix-Headset	660	720	29.217	15.085
MTD023UID	TS3006d.Mix-Headset	660	720	9.593	4.048
MTD024ME	TS3006d.Mix-Headset	660	720	19.053	13.549
MTD021PM	TS3006d.Mix-Headset	720	780	29.989	18.225
MTD022ID	TS3006d.Mix-Headset	720	780	19.841	11.588
MTD023UID	TS3006d.Mix-Headset	720	780	2.174	2.174
MTD024ME	TS3006d.Mix-Headset	720	780	30.836	19.242
MTD021PM	TS3006d.Mix-Headset	780	840	30.651	18.558
MTD022ID	TS3006d.Mix-Headset	780	840	12.742	10.365
MTD023UID	TS3006d.Mix-Headset	780	840	21.479	16.425
MTD024ME	TS3006d.Mix-Headset	780	840	25.024	15.575
MTD021PM	TS3006d.Mix-Headset	840	900	20.460	10.114
MTD022ID	TS3006d.Mix-Headset	840	900	11.381	9.400
MTD023UID	TS3006d.Mix-Headset	840	900	21.373	13.620
MTD024ME	TS3006d.Mix-Headset	840	900	32.387	17.067
MTD021PM	TS3006d.Mix-Headset	900	960	35.110	20.032
MTD022ID	TS3006d.Mix-Headset	900	960	11.829	7.949
MTD023UID	TS3006d.Mix-Headset	900	960	11.189	9.190
MTD024ME	TS3006d.Mix-Headset	900	960	24.170	15.736
MTD021PM	TS3006d.Mix-Headset	960	1020	36.288	15.038
MTD022ID	TS3006d.Mix-Headset	960	1020	8.466	7.870
MTD023UID	TS3006d.Mix-Headset	960	1020	1.528	1.528
MTD024ME	TS3006d.Mix-Headset	960	1020	22.714	12.916
MTD021PM	TS3006d.Mix-Headset	1020	1080	5.683	4.497
MTD022ID	TS3006d.Mix-Headset	1020	1080	1.137	1.137
MTD023UID	TS3006d.Mix-Headset	1020	1080	0.522	0.522
MTD024ME	TS3006d.Mix-Headset	1020	1080	48.858	5.974
MTD021PM	TS3006d.Mix-Headset	1080	1140	7.527	5.683
MTD022ID	TS3006d.Mix-Headset	1080	1140	17.283	4.934
MTD023UID	TS3006d.Mix-Headset	1080	1140	0.702	0.702
MTD024ME	TS3006d.Mix-Headset	1080	1140	39.393	9.598
MTD021PM	TS3006d.Mix-Headset	1140	1200	28.255	19.360
MTD022ID	TS3006d.Mix-Headset	1140	1200	3.412	3.412
MTD023UID	TS3006d.Mix-Headset	1140	1200	9.210	7.678
MTD024ME	TS3006d.Mix-Headset	1140	1200	45.655	22.415
MTD021PM	TS3006d.Mix-Headset	1200	1260	22.987	22.328
MTD022ID	TS3006d.Mix-Headset	1200	1260	19.225	19.222
MTD023UID	TS3006d.Mix-Headset	1200	1260	9.626	9.160
MTD024ME	TS3006d.Mix-Headset	1200	1260	51.876	29.640
MTD021PM	TS3006d.Mix-Headset	1260	1320	14.691	9.464
MTD022ID	TS3006d.Mix-Headset	1260	1320	26.114	10.889
MTD023UID	TS3006d.Mix-Headset	1260	1320	12.946	9.115
MTD024ME	TS3006d.Mix-Headset	1260	1320	24.479	10.241
MTD021PM	TS3006d.Mix-Headset	1320	1380	27.838	21.487
MTD022ID	TS3006d.Mix-Headset	1320	1380	18.661	15.588
MTD023UID	TS3006d.Mix-Headset	1320	1380	10.975	10.413
MTD024ME	TS3006d.Mix-Headset	1320	1380	43.283	29.058
MTD021PM	TS3006d.Mix-Headset	1380	1440	16.946	15.227
MTD022ID	TS3006d.Mix-Headset	1380	1440	16.614	12.431
MTD023UID	TS3006d.Mix-Headset	1380	1440	5.117	3.828
MTD024ME	TS3006d.Mix-Headset	1380	1440	45.681	19.329
MTD021PM	TS3006d.Mix-Headset	1440	1500	15.006	10.983
MTD022ID	TS3006d.Mix-Headset	1440	1500	32.242	11.119
MTD023UID	TS3006d.Mix-Headset	1440	1500	6.072	5.946
MTD024ME	TS3006d.Mix-Headset	1440	1500	27.589	16.203
MTD021PM	TS3006d.Mix-Headset	1500	1560	9.368	7.394
MTD022ID	TS3006d.Mix-Headset	1500	1560	32.018	16.312
MTD023UID	TS3006d.Mix-Headset	1500	1560	9.915	8.383
MTD024ME	TS3006d.Mix-Headset	1500	1560	35.012	16.099
MTD021PM	TS3006d.Mix-Headset	1560	1620	4.739	3.125
MTD022ID	TS3006d.Mix-Headset	1560	1620	26.896	16.216
MTD023UID	TS3006d.Mix-Headset	1560	1620	15.480	11.607
MTD024ME	TS3006d.Mix-Headset	1560	1620	35.696	19.325
MTD021PM	TS3006d.Mix-Headset	1620	1680	12.536	11.459
MTD022ID	TS3006d.Mix-Headset	1620	1680	18.400	13.473
MTD023UID	TS3006d.Mix-Headset	1620	1680	9.902	7.684
MTD024ME	TS3006d.Mix-Headset	1620	1680	40.502	17.282
MTD021PM	TS3006d.Mix-Headset	1680	1740	22.224	13.379
MTD022ID	TS3006d.Mix-Headset	1680	1740	10.296	6.874
MTD023UID	TS3006d.Mix-Headset	1680	1740	4.594	1.804
MTD024ME	TS3006d.Mix-Headset	1680	1740	38.236	15.634
MTD021PM	TS3006d.Mix-Headset	1740	1800	16.339	14.657
MTD022ID	TS3006d.Mix-Headset	1740	1800	19.307	13.683
MTD023UID	TS3006d.Mix-Headset	1740	1800	21.884	17.449
MTD024ME	TS3006d.Mix-Headset	1740	1800	34.636	26.238
MTD021PM	TS3006d.Mix-Headset	1800	1860	15.271	13.489
MTD022ID	TS3006d.Mix-Headset	1800	1860	33.015	17.222
MTD023UID	TS3006d.Mix-Headset	1800	1860	6.750	6.750
MTD024ME	TS3006d.Mix-Headset	1800	1860	34.053	20.278
MTD021PM	TS3006d.Mix-Headset	1860	1920	19.060	8.562
MTD022ID	TS3006d.Mix-Headset	1860	1920	24.330	18.814
MTD023UID	TS3006d.Mix-Headset	1860	1920	2.234	1.776
MTD024ME	TS3006d.Mix-Headset	1860	1920	34.320	15.206
MTD021PM	TS3006d.Mix-Headset	1920	1980	39.597	18.646
MTD022ID	TS3006d.Mix-Headset	1920	1980	12.013	7.894
MTD023UID	TS3006d.Mix-Headset	1920	1980	20.964	16.869
MTD024ME	TS3006d.Mix-Headset	1920	1980	17.153	11.359
MTD021PM	TS3006d.Mix-Headset	1980	2040	27.896	16.769
MTD022ID	TS3006d.Mix-Headset	1980	2040	30.561	25.433
MTD023UID	TS3006d.Mix-Headset	1980	2040	18.141	14.337
MTD024ME	TS3006d.Mix-Headset	1980	2040	26.044	24.607
MTD021PM	TS3006d.Mix-Headset	2040	2100	40.621	30.577
MTD022ID	TS3006d.Mix-Headset	2040	2100	16.008	14.776
MTD023UID	TS3006d.Mix-Headset	2040	2100	27.375	20.608
MTD024ME	TS3006d.Mix-Headset	2040	2100	13.665	11.590
MTD021PM	TS3006d.Mix-Headset	2100	2160	2.555	2.153
MTD022ID	TS3006d.Mix-Headset	2100	2160	18.950	8.995
MTD023UID	TS3006d.Mix-Headset	2100	2160	19.189	9.546
MTD024ME	TS3006d.Mix-Headset	2100	2160	16.690	9.457
MTD021PM	TS3006d.Mix-Headset	2160	2220	13.253	8.889
MTD022ID	TS3006d.Mix-Headset	2160	2220	14.678	4.937
MTD023UID	TS3006d.Mix-Headset	2160	2220	20.469	10.304
MTD024ME	TS3006d.Mix-Headset	2160	2220	12.896	8.886
MTD021PM	TS3006d.Mix-Headset	2220	2280	12.959	6.123
MTD022ID	TS3006d.Mix-Headset	2220	2280	18.505	10.147
MTD023UID	TS3006d.Mix-Headset	2220	2280	16.197	7.454
MTD024ME	TS3006d.Mix-Headset	2220	2280	16.529	7.804
MTD021PM	TS3006d.Mix-Headset	2280	2340	6.805	5.310
MTD022ID	TS3006d.Mix-Headset	2280	2340	17.074	2.005
MTD023UID	TS3006d.Mix-Headset	2280	2340	7.535	4.662
MTD024ME	TS3006d.Mix-Headset	2280	2340	16.348	3.292
MTD021PM	TS3006d.Mix-Headset	2340	2400	22.420	14.467
MTD022ID	TS3006d.Mix-Headset	2340	2400	17.489	8.189
MTD023UID	TS3006d.Mix-Headset	2340	2400	14.943	12.583
MTD024ME	TS3006d.Mix-Headset	2340	2400	14.827	7.071
MTD021PM	TS3006d.Mix-Headset	2400	2460	7.073	5.329
MTD022ID	TS3006d.Mix-Headset	2400	2460	16.218	6.973
MTD023UID	TS3006d.Mix-Headset	2400	2460	6.624	4.470
MTD024ME	TS3006d.Mix-Headset	2400	2460	25.532	11.305
MTD022ID	TS3006d.Mix-Headset	2460	2520	18.445	9.663
MTD023UID	TS3006d.Mix-Headset	2460	2520	16.575	6.059
MTD024ME	TS3006d.Mix-Headset	2460	2520	25.389	11.550
MTD021PM	TS3006d.Mix-Headset	2460	2520	0.0	0.0
MTD021PM	TS3006d.Mix-Headset	2520	2580	24.079	13.249
MTD022ID	TS3006d.Mix-Headset	2520	2580	18.168	5.400
MTD023UID	TS3006d.Mix-Headset	2520	2580	14.720	10.969
MTD024ME	TS3006d.Mix-Headset	2520	2580	26.447	15.614
MTD021PM	TS3006d.Mix-Headset	2580	2640	34.021	12.659
MTD022ID	TS3006d.Mix-Headset	2580	2640	6.525	5.384
MTD023UID	TS3006d.Mix-Headset	2580	2640	2.422	2.110
MTD024ME	TS3006d.Mix-Headset	2580	2640	26.738	16.127
MTD021PM	TS3006d.Mix-Headset	2640	2700	24.552	7.660
MTD022ID	TS3006d.Mix-Headset	2640	2700	20.302	6.416
MTD023UID	TS3006d.Mix-Headset	2640	2700	1.230	1.230
MTD024ME	TS3006d.Mix-Headset	2640	2700	24.972	8.749
MTD021PM	TS3006d.Mix-Headset	2700	2760	12.824	3.842
MTD022ID	TS3006d.Mix-Headset	2700	2760	13.880	8.316
MTD023UID	TS3006d.Mix-Headset	2700	2760	12.371	8.282
MTD024ME	TS3006d.Mix-Headset	2700	2760	34.111	9.304
MTD021PM	TS3006d.Mix-Headset	2760	2820	14.015	7.659
MTD022ID	TS3006d.Mix-Headset	2760	2820	23.511	6.480
MTD023UID	TS3006d.Mix-Headset	2760	2820	0.702	0.702
MTD024ME	TS3006d.Mix-Headset	2760	2820	32.165	10.982
MTD021PM	TS3006d.Mix-Headset	2820	2880	14.882	6.003
MTD022ID	TS3006d.Mix-Headset	2820	2880	19.926	3.656
