speaker	model_number	filename	onset	offset
FEE041	1	ES2011c.Mix-Headset	780.032	780.24
FEE041	1	ES2011c.Mix-Headset	782.24	782.861
FEE041	1	ES2011c.Mix-Headset	802.16	804.641
FEE041	1	ES2011c.Mix-Headset	805.968	810.96
FEE043	3	ES2011c.Mix-Headset	700.992	716.23
FEE043	3	ES2011c.Mix-Headset	726.16	731.825
FEE043	3	ES2011c.Mix-Headset	742.448	744.399
FEE043	3	ES2011c.Mix-Headset	749.04	750.162
FEE043	3	ES2011c.Mix-Headset	757.264	759.424
FEE043	3	ES2011c.Mix-Headset	760.416	762.752
FEE043	3	ES2011c.Mix-Headset	775.008	775.573
FEE043	3	ES2011c.Mix-Headset	798.288	799.024
FEE043	3	ES2011c.Mix-Headset	825.104	831.296
FEE042	3	ES2011c.Mix-Headset	579.224	580.493
FEE042	3	ES2011c.Mix-Headset	585.168	585.792
FEE042	3	ES2011c.Mix-Headset	643.613	644.18
FEE042	3	ES2011c.Mix-Headset	648.568	649.452
FEE042	3	ES2011c.Mix-Headset	656.528	657.744
FEE042	3	ES2011c.Mix-Headset	739.664	741.57
FEE042	3	ES2011c.Mix-Headset	763.246	763.654
FEE042	3	ES2011c.Mix-Headset	780.672	781.788
FEE042	3	ES2011c.Mix-Headset	796.96	798.272
FEE042	3	ES2011c.Mix-Headset	812.384	812.768
FEE042	3	ES2011c.Mix-Headset	870.336	874.598
FEE042	3	ES2011c.Mix-Headset	878.721	881.399
FEE042	3	ES2011c.Mix-Headset	913.408	914.677
FEE042	3	ES2011c.Mix-Headset	926.784	927.386
FEE042	3	ES2011c.Mix-Headset	943.984	946.656
FEE042	3	ES2011c.Mix-Headset	956.223	956.652
FEE042	3	ES2011c.Mix-Headset	958.346	959.68
FEE042	3	ES2011c.Mix-Headset	963.632	966.077
FEE042	3	ES2011c.Mix-Headset	979.696	986.544
FEE043	4	ES2011c.Mix-Headset	841.895	843.744
FEE043	4	ES2011c.Mix-Headset	844.96	849.722
FEE043	4	ES2011c.Mix-Headset	857.296	859.12
FEE043	4	ES2011c.Mix-Headset	861.216	866.848
FEE043	4	ES2011c.Mix-Headset	875.104	875.181
FEE043	4	ES2011c.Mix-Headset	882.566	883.744
FEE043	4	ES2011c.Mix-Headset	891.36	891.376
FEE043	4	ES2011c.Mix-Headset	911.92	912.42
FEE043	4	ES2011c.Mix-Headset	917.952	925.832
FEE043	4	ES2011c.Mix-Headset	928.688	929.36
FEE043	4	ES2011c.Mix-Headset	931.024	933.808
FEE043	4	ES2011c.Mix-Headset	947.264	947.693
FEE043	4	ES2011c.Mix-Headset	953.776	954.091
FEE043	4	ES2011c.Mix-Headset	959.792	961.687
FEE043	4	ES2011c.Mix-Headset	989.184	991.52
FEE041	2	ES2011c.Mix-Headset	834.289	839.088
FEE041	2	ES2011c.Mix-Headset	850.24	850.478
FEE041	2	ES2011c.Mix-Headset	856.432	856.784
FEE041	2	ES2011c.Mix-Headset	867.759	868.532
FEE041	2	ES2011c.Mix-Headset	876.664	878.704
FEE041	2	ES2011c.Mix-Headset	884.576	884.944
FEE041	2	ES2011c.Mix-Headset	892.944	910.61
FEE041	2	ES2011c.Mix-Headset	935.609	935.837
FEE041	2	ES2011c.Mix-Headset	957.487	957.888
FEE041	2	ES2011c.Mix-Headset	962.352	962.958
FEE041	2	ES2011c.Mix-Headset	966.496	967.152
FEE041	2	ES2011c.Mix-Headset	1001.613	1003.871
FEE044	2	ES2011c.Mix-Headset	451.312	460.384
FEE044	2	ES2011c.Mix-Headset	500.256	505.328
FEE044	2	ES2011c.Mix-Headset	581.639	584.032
FEE044	2	ES2011c.Mix-Headset	600.176	603.28
FEE044	2	ES2011c.Mix-Headset	660.358	660.416
FEE044	2	ES2011c.Mix-Headset	766.832	767.25
FEE044	2	ES2011c.Mix-Headset	776.358	777.808
FEE044	2	ES2011c.Mix-Headset	779.172	779.488
FEE044	2	ES2011c.Mix-Headset	868.58	868.594
FEE044	2	ES2011c.Mix-Headset	885.041	885.575
FEE044	2	ES2011c.Mix-Headset	915.195	916.496
FEE044	2	ES2011c.Mix-Headset	946.921	947.243
FEE044	2	ES2011c.Mix-Headset	957.043	957.251
FEE044	2	ES2011c.Mix-Headset	1003.982	1004.336
FEE044	2	ES2011c.Mix-Headset	1047.943	1051.664
FEE044	2	ES2011c.Mix-Headset	1055.863	1057.174
FEE044	2	ES2011c.Mix-Headset	1058.144	1061.199
FEE041	3	ES2011c.Mix-Headset	1014.553	1016.912
FEE041	3	ES2011c.Mix-Headset	1038.837	1039.768
FEE041	3	ES2011c.Mix-Headset	1045.187	1045.924
FEE041	3	ES2011c.Mix-Headset	1046.992	1047.248
FEE041	3	ES2011c.Mix-Headset	1072.448	1074.332
FEE041	3	ES2011c.Mix-Headset	1083.52	1083.92
FEE041	3	ES2011c.Mix-Headset	1085.161	1087.116
FEE041	3	ES2011c.Mix-Headset	1088.352	1088.442
FEE041	3	ES2011c.Mix-Headset	1093.452	1094.074
FEE041	3	ES2011c.Mix-Headset	1108.007	1108.216
FEE041	3	ES2011c.Mix-Headset	1116.496	1117.68
FEE041	3	ES2011c.Mix-Headset	1132.544	1134.288
FEE041	3	ES2011c.Mix-Headset	1136.974	1137.118
FEE041	3	ES2011c.Mix-Headset	1179.696	1180.218
FEE041	3	ES2011c.Mix-Headset	1184.56	1191.216
FEE041	3	ES2011c.Mix-Headset	1193.712	1194.32
FEE041	3	ES2011c.Mix-Headset	1197.52	1198.432
FEE041	3	ES2011c.Mix-Headset	1204.928	1205.117
FEE041	3	ES2011c.Mix-Headset	1212.592	1213.024
FEE041	3	ES2011c.Mix-Headset	1224.953	1226.396
FEE041	3	ES2011c.Mix-Headset	1227.12	1227.926
FEE041	3	ES2011c.Mix-Headset	1234.016	1234.988
FEE041	3	ES2011c.Mix-Headset	1253.488	1258.928
FEE044	3	ES2011c.Mix-Headset	1066.23	1066.464
FEE044	3	ES2011c.Mix-Headset	1075.298	1077.264
FEE044	3	ES2011c.Mix-Headset	1094.916	1096.546
FEE044	3	ES2011c.Mix-Headset	1110.288	1115.136
FEE044	3	ES2011c.Mix-Headset	1134.583	1135.508
FEE044	3	ES2011c.Mix-Headset	1137.996	1139.786
FEE044	3	ES2011c.Mix-Headset	1161.423	1162.496
FEE044	3	ES2011c.Mix-Headset	1191.488	1193.023
FEE044	3	ES2011c.Mix-Headset	1196.288	1197.445
FEE044	3	ES2011c.Mix-Headset	1201.844	1202.512
FEE044	3	ES2011c.Mix-Headset	1218.168	1224.312
FEE044	3	ES2011c.Mix-Headset	1230.768	1233.624
FEE044	3	ES2011c.Mix-Headset	1264.8	1270.607
FEE043	5	ES2011c.Mix-Headset	993.264	1001.12
FEE043	5	ES2011c.Mix-Headset	1013.38	1014.342
FEE043	5	ES2011c.Mix-Headset	1017.84	1018.912
FEE043	5	ES2011c.Mix-Headset	1019.968	1023.424
FEE043	5	ES2011c.Mix-Headset	1042.889	1042.926
FEE043	5	ES2011c.Mix-Headset	1052.9	1055.176
FEE043	5	ES2011c.Mix-Headset	1061.366	1061.424
FEE043	5	ES2011c.Mix-Headset	1067.09	1067.553
FEE043	5	ES2011c.Mix-Headset	1071.504	1071.87
FEE043	5	ES2011c.Mix-Headset	1077.888	1078.326
FEE043	5	ES2011c.Mix-Headset	1104.909	1105.278
FEE043	5	ES2011c.Mix-Headset	1109.568	1109.691
FEE043	5	ES2011c.Mix-Headset	1124.006	1124.241
FEE043	5	ES2011c.Mix-Headset	1126.576	1126.7
FEE043	5	ES2011c.Mix-Headset	1145.134	1145.6
FEE043	5	ES2011c.Mix-Headset	1146.814	1149.046
FEE043	5	ES2011c.Mix-Headset	1163.376	1164.352
FEE043	5	ES2011c.Mix-Headset	1171.408	1172.096
FEE043	5	ES2011c.Mix-Headset	1175.6	1178.304
FEE043	5	ES2011c.Mix-Headset	1243.029	1246.048
FEE043	5	ES2011c.Mix-Headset	1247.312	1248.112
FEE043	5	ES2011c.Mix-Headset	1263.968	1264.381
FEE043	5	ES2011c.Mix-Headset	1300.528	1301.792
FEE042	4	ES2011c.Mix-Headset	1024.208	1025.888
FEE042	4	ES2011c.Mix-Headset	1031.138	1032.031
FEE042	4	ES2011c.Mix-Headset	1062.447	1065.553
FEE042	4	ES2011c.Mix-Headset	1087.664	1088.128
FEE042	4	ES2011c.Mix-Headset	1089.254	1090.356
FEE042	4	ES2011c.Mix-Headset	1092.336	1093.408
FEE042	4	ES2011c.Mix-Headset	1104.112	1104.419
FEE042	4	ES2011c.Mix-Headset	1127.779	1132.028
FEE042	4	ES2011c.Mix-Headset	1145.872	1146.379
FEE042	4	ES2011c.Mix-Headset	1169.92	1171.328
FEE042	4	ES2011c.Mix-Headset	1180.607	1181.056
FEE042	4	ES2011c.Mix-Headset	1195.076	1195.747
FEE042	4	ES2011c.Mix-Headset	1206.107	1206.464
FEE042	4	ES2011c.Mix-Headset	1237.259	1238.235
FEE042	4	ES2011c.Mix-Headset	1246.392	1246.624
FEE042	4	ES2011c.Mix-Headset	1248.225	1249.52
FEE042	4	ES2011c.Mix-Headset	1250.528	1253.269
FEE042	4	ES2011c.Mix-Headset	1259.027	1259.744
FEE042	4	ES2011c.Mix-Headset	1281.168	1284.686
FEE042	4	ES2011c.Mix-Headset	1290.64	1291.597
FEE042	4	ES2011c.Mix-Headset	1310.56	1311.168
FEE042	4	ES2011c.Mix-Headset	1321.703	1322.256
FEE042	4	ES2011c.Mix-Headset	1351.691	1353.952
FEE043	6	ES2011c.Mix-Headset	1303.118	1303.769
FEE043	6	ES2011c.Mix-Headset	1307.2	1308.128
FEE043	6	ES2011c.Mix-Headset	1311.312	1311.936
FEE043	6	ES2011c.Mix-Headset	1322.336	1328.287
FEE043	6	ES2011c.Mix-Headset	1329.6	1331.344
FEE043	6	ES2011c.Mix-Headset	1332.336	1333.968
FEE043	6	ES2011c.Mix-Headset	1346.32	1349.904
FEE043	6	ES2011c.Mix-Headset	1350.58	1350.934
FEE043	6	ES2011c.Mix-Headset	1357.185	1358.134
FEE043	6	ES2011c.Mix-Headset	1366.4	1367.126
FEE043	6	ES2011c.Mix-Headset	1376.992	1377.239
FEE043	6	ES2011c.Mix-Headset	1381.2	1381.248
FEE043	6	ES2011c.Mix-Headset	1384.24	1385.024
FEE043	6	ES2011c.Mix-Headset	1393.735	1395.713
FEE043	6	ES2011c.Mix-Headset	1399.424	1402.145
FEE043	6	ES2011c.Mix-Headset	1403.232	1408.704
FEE043	6	ES2011c.Mix-Headset	1417.264	1417.984
FEE043	6	ES2011c.Mix-Headset	1420.187	1421.08
FEE044	4	ES2011c.Mix-Headset	1286.084	1290.304
FEE044	4	ES2011c.Mix-Headset	1313.658	1315.808
FEE044	4	ES2011c.Mix-Headset	1319.904	1320.368
FEE044	4	ES2011c.Mix-Headset	1334.032	1338.577
FEE044	4	ES2011c.Mix-Headset	1339.353	1340.038
FEE044	4	ES2011c.Mix-Headset	1350.319	1350.384
FEE044	4	ES2011c.Mix-Headset	1356.654	1357.104
FEE044	4	ES2011c.Mix-Headset	1358.816	1362.015
FEE044	4	ES2011c.Mix-Headset	1377.92	1380.999
FEE044	4	ES2011c.Mix-Headset	1385.104	1385.491
FEE044	4	ES2011c.Mix-Headset	1392.081	1392.316
FEE044	4	ES2011c.Mix-Headset	1418.118	1419.908
FEE044	4	ES2011c.Mix-Headset	1429.142	1430.327
FEE044	4	ES2011c.Mix-Headset	1451.776	1460.24
FEE042	5	ES2011c.Mix-Headset	1369.84	1370.057
FEE042	5	ES2011c.Mix-Headset	1381.65	1383.744
FEE042	5	ES2011c.Mix-Headset	1385.52	1391.355
FEE042	5	ES2011c.Mix-Headset	1411.584	1416.952
FEE042	5	ES2011c.Mix-Headset	1434.541	1435.695
FEE042	5	ES2011c.Mix-Headset	1436.361	1436.936
FEE042	5	ES2011c.Mix-Headset	1445.451	1447.728
FEE042	5	ES2011c.Mix-Headset	1463.721	1466.336
FEE042	5	ES2011c.Mix-Headset	1507.712	1514.352
FEE042	5	ES2011c.Mix-Headset	1518.046	1522.511
FEE041	4	ES2011c.Mix-Headset	1260.077	1262.784
FEE041	4	ES2011c.Mix-Headset	1270.71	1272.338
FEE041	4	ES2011c.Mix-Headset	1280.784	1281.122
FEE041	4	ES2011c.Mix-Headset	1297.088	1297.542
FEE041	4	ES2011c.Mix-Headset	1308.91	1309.36
FEE041	4	ES2011c.Mix-Headset	1318.768	1319.008
FEE041	4	ES2011c.Mix-Headset	1320.867	1321.47
FEE041	4	ES2011c.Mix-Headset	1340.56	1340.896
FEE041	4	ES2011c.Mix-Headset	1343.44	1343.728
FEE041	4	ES2011c.Mix-Headset	1354.441	1354.948
FEE041	4	ES2011c.Mix-Headset	1358.224	1358.24
FEE041	4	ES2011c.Mix-Headset	1362.24	1365.024
FEE041	4	ES2011c.Mix-Headset	1368.627	1368.657
FEE041	4	ES2011c.Mix-Headset	1372.336	1376.944
FEE041	4	ES2011c.Mix-Headset	1392.539	1392.83
FEE041	4	ES2011c.Mix-Headset	1423.328	1426.256
FEE041	4	ES2011c.Mix-Headset	1442.56	1444.688
FEE041	4	ES2011c.Mix-Headset	1478.32	1478.612
FEE041	4	ES2011c.Mix-Headset	1499.808	1500.144
FEE041	4	ES2011c.Mix-Headset	1528.256	1529.952
FEE041	4	ES2011c.Mix-Headset	1535.712	1536.016
FEE041	4	ES2011c.Mix-Headset	1539.872	1540.256
FEE041	4	ES2011c.Mix-Headset	1543.584	1543.888
FEE041	4	ES2011c.Mix-Headset	1545.136	1547.693
FEE041	4	ES2011c.Mix-Headset	1554.973	1555.744
FEE041	4	ES2011c.Mix-Headset	1567.182	1569.631
FEE041	4	ES2011c.Mix-Headset	1571.392	1576.521
FEE041	5	ES2011d.Mix-Headset	64.863	65.506
FEE041	5	ES2011d.Mix-Headset	67.258	68.305
FEE041	5	ES2011d.Mix-Headset	69.376	75.185
FEE041	5	ES2011d.Mix-Headset	76.062	118.812
FEE042	6	ES2011d.Mix-Headset	129.668	134.846
FEE042	6	ES2011d.Mix-Headset	135.744	147.361
FEE042	6	ES2011d.Mix-Headset	148.736	159.376
FEE042	6	ES2011d.Mix-Headset	171.446	172.766
FEE042	6	ES2011d.Mix-Headset	181.865	188.721
FEE041	6	ES2011d.Mix-Headset	121.251	127.782
FEE041	6	ES2011d.Mix-Headset	128.928	129.155
FEE041	6	ES2011d.Mix-Headset	161.806	163.181
FEE041	6	ES2011d.Mix-Headset	172.971	176.168
FEE041	6	ES2011d.Mix-Headset	178.864	181.391
FEE041	6	ES2011d.Mix-Headset	213.104	213.782
FEE041	6	ES2011d.Mix-Headset	244.688	246.86
FEE041	6	ES2011d.Mix-Headset	248.821	249.179
FEE041	6	ES2011d.Mix-Headset	250.57	259.39
FEE041	6	ES2011d.Mix-Headset	260.704	270.965
FEE041	7	ES2011d.Mix-Headset	292.992	298.724
FEE041	7	ES2011d.Mix-Headset	307.141	308.252
FEE041	7	ES2011d.Mix-Headset	313.616	318.991
FEE041	7	ES2011d.Mix-Headset	320.4	321.918
FEE041	7	ES2011d.Mix-Headset	348.879	358.064
FEE041	7	ES2011d.Mix-Headset	364.886	366.875
FEE041	7	ES2011d.Mix-Headset	368.597	370.53
FEE041	7	ES2011d.Mix-Headset	373.647	375.364
FEE041	7	ES2011d.Mix-Headset	377.149	378.495
FEE041	7	ES2011d.Mix-Headset	387.888	389.952
FEE044	5	ES2011d.Mix-Headset	322.626	324.343
FEE044	5	ES2011d.Mix-Headset	390.482	391.997
FEE044	5	ES2011d.Mix-Headset	398.101	398.905
FEE044	5	ES2011d.Mix-Headset	408.864	416.415
FEE044	5	ES2011d.Mix-Headset	417.496	425.441
FEE044	5	ES2011d.Mix-Headset	426.605	427.817
FEE044	5	ES2011d.Mix-Headset	429.03	430.073
FEE044	5	ES2011d.Mix-Headset	431.072	454.603
FEE044	6	ES2011d.Mix-Headset	455.204	480.548
FEE044	6	ES2011d.Mix-Headset	481.793	500.777
FEE043	7	ES2011d.Mix-Headset	189.493	189.628
FEE043	7	ES2011d.Mix-Headset	194.274	212.172
FEE043	7	ES2011d.Mix-Headset	226.417	227.357
FEE043	7	ES2011d.Mix-Headset	229.949	233.616
FEE043	7	ES2011d.Mix-Headset	235.404	236.347
FEE043	7	ES2011d.Mix-Headset	238.872	239.096
FEE043	7	ES2011d.Mix-Headset	243.216	244.663
FEE043	7	ES2011d.Mix-Headset	247.296	248.477
FEE043	7	ES2011d.Mix-Headset	361.458	362.3
FEE043	7	ES2011d.Mix-Headset	532.105	536.078
FEE044	7	ES2011d.Mix-Headset	501.726	506.41
FEE044	7	ES2011d.Mix-Headset	507.319	523.12
FEE044	7	ES2011d.Mix-Headset	526.752	530.851
FEE044	7	ES2011d.Mix-Headset	536.856	537.122
FEE044	7	ES2011d.Mix-Headset	539.684	541.566
FEE044	7	ES2011d.Mix-Headset	544.863	545.876
FEE044	7	ES2011d.Mix-Headset	547.996	549.713
FEE044	7	ES2011d.Mix-Headset	550.723	552.452
FEE044	8	ES2011d.Mix-Headset	554.595	554.78
FEE044	8	ES2011d.Mix-Headset	556.346	557.316
FEE044	8	ES2011d.Mix-Headset	564.112	565.74
FEE044	8	ES2011d.Mix-Headset	567.895	569.238
FEE044	8	ES2011d.Mix-Headset	576.094	579.131
FEE044	8	ES2011d.Mix-Headset	581.207	582.1
FEE044	8	ES2011d.Mix-Headset	598.368	600.898
FEE044	8	ES2011d.Mix-Headset	678.38	682.152
FEE044	8	ES2011d.Mix-Headset	713.142	715.674
FEE044	8	ES2011d.Mix-Headset	717.996	719.259
FEE044	8	ES2011d.Mix-Headset	723.857	724.6
FEE044	8	ES2011d.Mix-Headset	787.911	793.602
FEE044	8	ES2011d.Mix-Headset	799.196	799.739
FEE044	8	ES2011d.Mix-Headset	813.338	817.088
FEE044	8	ES2011d.Mix-Headset	818.556	818.633
FEE044	8	ES2011d.Mix-Headset	825.585	826.752
FEE042	7	ES2011d.Mix-Headset	190.604	191.745
FEE042	7	ES2011d.Mix-Headset	224.192	226.296
FEE042	7	ES2011d.Mix-Headset	227.912	229.632
FEE042	7	ES2011d.Mix-Headset	233.69	234.579
FEE042	7	ES2011d.Mix-Headset	237.575	238.316
FEE042	7	ES2011d.Mix-Headset	241.734	242.374
FEE042	7	ES2011d.Mix-Headset	299.328	302.46
FEE042	7	ES2011d.Mix-Headset	303.332	303.37
FEE042	7	ES2011d.Mix-Headset	336.313	337.054
FEE042	7	ES2011d.Mix-Headset	346.926	348.792
FEE042	7	ES2011d.Mix-Headset	506.464	507.229
FEE042	7	ES2011d.Mix-Headset	662.51	662.653
FEE042	7	ES2011d.Mix-Headset	716.878	717.61
FEE042	7	ES2011d.Mix-Headset	720.426	723.556
FEE042	7	ES2011d.Mix-Headset	796.731	797.707
FEE042	7	ES2011d.Mix-Headset	808.841	809.583
FEE042	7	ES2011d.Mix-Headset	817.24	817.761
FEE042	7	ES2011d.Mix-Headset	820.24	821.235
FEE042	7	ES2011d.Mix-Headset	823.267	824.067
FEE042	7	ES2011d.Mix-Headset	827.341	827.984
FEE042	7	ES2011d.Mix-Headset	834.9	835.952
FEE042	7	ES2011d.Mix-Headset	837.24	839.025
FEE042	7	ES2011d.Mix-Headset	845.013	845.968
FEE042	7	ES2011d.Mix-Headset	856.691	857.207
FEE042	7	ES2011d.Mix-Headset	859.081	859.773
FEE042	7	ES2011d.Mix-Headset	872.126	872.405
FEE042	7	ES2011d.Mix-Headset	875.846	878.27
FEE044	9	ES2011d.Mix-Headset	840.736	844.805
FEE044	9	ES2011d.Mix-Headset	847.136	853.632
FEE044	9	ES2011d.Mix-Headset	863.193	867.072
FEE044	9	ES2011d.Mix-Headset	872.732	873.55
FEE044	9	ES2011d.Mix-Headset	875.334	875.541
FEE044	9	ES2011d.Mix-Headset	879.846	880.728
FEE044	9	ES2011d.Mix-Headset	893.865	896.037
FEE044	9	ES2011d.Mix-Headset	898.036	904.884
FEE044	9	ES2011d.Mix-Headset	924.576	925.316
FEE044	9	ES2011d.Mix-Headset	926.978	930.878
FEE041	8	ES2011d.Mix-Headset	395.171	396.784
FEE041	8	ES2011d.Mix-Headset	552.575	553.587
FEE041	8	ES2011d.Mix-Headset	557.861	558.057
FEE041	8	ES2011d.Mix-Headset	579.213	580.0
FEE041	8	ES2011d.Mix-Headset	592.361	594.267
FEE041	8	ES2011d.Mix-Headset	603.828	605.57
FEE041	8	ES2011d.Mix-Headset	665.506	665.616
FEE041	8	ES2011d.Mix-Headset	784.923	786.91
FEE041	8	ES2011d.Mix-Headset	794.24	795.897
FEE041	8	ES2011d.Mix-Headset	801.502	803.384
FEE041	8	ES2011d.Mix-Headset	804.544	807.681
FEE041	8	ES2011d.Mix-Headset	824.109	825.211
FEE041	8	ES2011d.Mix-Headset	833.168	833.334
FEE041	8	ES2011d.Mix-Headset	836.331	836.864
FEE041	8	ES2011d.Mix-Headset	857.768	858.883
FEE041	8	ES2011d.Mix-Headset	884.847	886.037
FEE041	8	ES2011d.Mix-Headset	888.74	888.977
FEE041	8	ES2011d.Mix-Headset	892.479	892.848
FEE041	8	ES2011d.Mix-Headset	925.964	926.359
FEE041	8	ES2011d.Mix-Headset	934.912	936.124
FEE041	8	ES2011d.Mix-Headset	943.04	943.868
FEE041	8	ES2011d.Mix-Headset	950.576	950.999
FEE041	8	ES2011d.Mix-Headset	961.123	965.912
FEE041	8	ES2011d.Mix-Headset	967.924	971.406
FEE044	10	ES2011d.Mix-Headset	937.076	939.332
FEE044	10	ES2011d.Mix-Headset	944.247	948.489
FEE044	10	ES2011d.Mix-Headset	952.967	956.131
FEE044	10	ES2011d.Mix-Headset	973.224	973.569
FEE044	10	ES2011d.Mix-Headset	986.362	988.182
FEE044	10	ES2011d.Mix-Headset	995.406	995.408
FEE044	10	ES2011d.Mix-Headset	1006.303	1007.903
FEE044	10	ES2011d.Mix-Headset	1013.104	1014.64
FEE044	10	ES2011d.Mix-Headset	1019.128	1021.984
FEE044	10	ES2011d.Mix-Headset	1025.427	1028.558
FEE044	10	ES2011d.Mix-Headset	1029.97	1030.343
FEE044	10	ES2011d.Mix-Headset	1033.698	1035.183
FEE044	10	ES2011d.Mix-Headset	1058.617	1062.562
FEE044	10	ES2011d.Mix-Headset	1063.584	1066.555
FEE044	10	ES2011d.Mix-Headset	1069.796	1071.445
FEE043	8	ES2011d.Mix-Headset	541.838	543.557
FEE043	8	ES2011d.Mix-Headset	546.317	547.29
FEE043	8	ES2011d.Mix-Headset	555.403	556.093
FEE043	8	ES2011d.Mix-Headset	574.039	575.512
FEE043	8	ES2011d.Mix-Headset	590.24	592.043
FEE043	8	ES2011d.Mix-Headset	606.551	607.999
FEE043	8	ES2011d.Mix-Headset	661.035	662.435
FEE043	8	ES2011d.Mix-Headset	800.072	801.238
FEE043	8	ES2011d.Mix-Headset	846.253	846.473
FEE043	8	ES2011d.Mix-Headset	854.116	855.808
FEE043	8	ES2011d.Mix-Headset	868.16	870.767
FEE043	8	ES2011d.Mix-Headset	872.029	872.039
FEE043	8	ES2011d.Mix-Headset	896.22	896.307
FEE043	8	ES2011d.Mix-Headset	931.251	931.856
FEE043	8	ES2011d.Mix-Headset	940.888	942.288
